,modality,direction,day,interval,variable,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
0,text,Out,14,6,average_length,down,0.6972091373076816,0.07953300302797252,0.6378787878787878,0.08187711149678513,0.7044998084635484,0.06909747390979752,0.6980000000000001,0.1114459600891931,0.5453846153846154,0.13616106724076427,0.6216923076923072,0.08348653659769771
1,text,Out,14,6,average_length,up,0.6813143466745649,0.09030992300476318,0.6169696969696968,0.08423848240002045,0.679709617793801,0.06444865063941667,0.6924999999999999,0.13321490953047302,0.5007692307692306,0.12199162123353564,0.5966346153846154,0.07964745055413931
2,text,Out,14,12,average_length,up,0.6800543007984383,0.07100738083678937,0.6057575757575757,0.07589458073757135,0.6687510119485216,0.06436811871005689,0.6995000000000005,0.10624324102090567,0.4615384615384616,0.14129027935376912,0.5805192307692307,0.07911157166699159
3,text,Out,14,12,average_length,down,0.6766072019736735,0.07923219702867586,0.601818181818182,0.08000287535065169,0.6632694304571979,0.06331766983847012,0.6984999999999999,0.11730453331117915,0.4530769230769229,0.1386836688380819,0.5757884615384615,0.08082429349288564
4,text,Out,14,24,average_length,up,0.668447640513615,0.06629475926452498,0.5981818181818181,0.07072281078904663,0.6680100786711232,0.05947658314079553,0.6755000000000001,0.09911094691294092,0.4792307692307696,0.12410940280527633,0.5773653846153847,0.07254532805053154
5,text,Out,14,24,average_length,down,0.6623748754264521,0.07676182418939817,0.5972727272727273,0.07803970065340887,0.6709685813233301,0.0636062980231164,0.6615000000000001,0.11074928460447968,0.4984615384615382,0.1286611934794204,0.5799807692307695,0.07857781911382625
6,text,Out,14,12,counts,up,0.6498233307091493,0.07555814005512926,0.5866666666666668,0.08234534115848498,0.6695027787264358,0.07741463432108646,0.639,0.10337242662266656,0.5061538461538462,0.15313745079403085,0.572576923076923,0.08782779477406558
7,text,Out,14,12,unique_contacts,up,0.6478343586266752,0.09034061881037833,0.5872727272727271,0.08644052769006406,0.6667432098400197,0.07559188396120121,0.6400000000000001,0.12909944487358055,0.5061538461538461,0.1400922704549714,0.5730769230769229,0.08542646517050266
8,text,Out,14,4,average_length,up,0.6419051543864491,0.07120691076795674,0.5681818181818182,0.06393882092246612,0.6419549778297862,0.048924320325831064,0.6504999999999996,0.11492092142781568,0.4415384615384614,0.11756296501929366,0.5460192307692305,0.06092856215937579
9,text,Out,14,6,unique_contacts,up,0.6404906260569728,0.07795550059069369,0.5554545454545456,0.07919123985391051,0.6266660153682734,0.06650943581718136,0.6629999999999998,0.11450817094042333,0.3899999999999998,0.14432669692603678,0.5265,0.08138964186627166
10,text,Out,14,6,counts,up,0.6404521577821165,0.0800588890615225,0.5748484848484849,0.07923807710119488,0.6554700843487288,0.07005494023639053,0.6349999999999998,0.1155793487548094,0.4823076923076922,0.1412289274391402,0.5586538461538458,0.08075558585302102
11,text,Out,14,24,unique_contacts,up,0.6397628946616714,0.07282220726806439,0.5645454545454548,0.06953708654850546,0.6404061841334655,0.05936272077822057,0.649,0.11480770044212225,0.4346153846153846,0.14102564102564102,0.5418076923076923,0.07091621210079205
12,text,Out,14,4,average_length,down,0.6392491872141304,0.08865258134536115,0.5790909090909091,0.08438974770861526,0.6627353022943616,0.07657163672720085,0.628,0.1251907635280146,0.5038461538461538,0.15085475588307448,0.5659230769230769,0.0856657976818931
13,text,Out,14,4,counts,up,0.6379549177888264,0.06900238562907153,0.5745454545454547,0.07128453683428147,0.6598167704590171,0.06740132066387347,0.6250000000000001,0.0967919772950572,0.4969230769230769,0.13890974680509724,0.5609615384615383,0.07581638832409092
14,text,Out,14,4,unique_contacts,up,0.6270657167984149,0.08519054850594078,0.5400000000000001,0.0858591260178547,0.6137989513315936,0.06774981381419641,0.6495000000000001,0.12319299960434095,0.3715384615384615,0.14424384815084718,0.5105192307692308,0.08658332386315047
15,call,In,14,24,counts,up,0.6188511969002479,0.06322649714751083,0.5836065573770489,0.05645294672964425,0.6500346462899482,0.05347646821113102,0.5945714285714288,0.08349162455510956,0.5688461538461541,0.08491769827454257,0.5817087912087913,0.05584059263187921
16,call,In,14,24,counts,down,0.6164014812332891,0.05535822844975457,0.5850819672131147,0.05624555561675047,0.6590202477132259,0.06208168097004217,0.5842857142857143,0.07514158970504525,0.5861538461538464,0.10921336740466944,0.5852197802197805,0.059263088423370976
17,call,In,14,24,average_length,up,0.6069147428377935,0.058430032672471835,0.5522950819672132,0.058978433450631786,0.6118442017570341,0.0534412997505961,0.6065714285714288,0.08261396368953355,0.4792307692307694,0.10492902844351988,0.5429010989010989,0.060605463581094365
18,text,All,14,24,counts,up,0.6001447599447581,0.04611605365778715,0.5454081632653063,0.04368825813030106,0.6140521261891206,0.039623955677197696,0.5896491228070179,0.06601597256172344,0.4839024390243904,0.0751334047702444,0.5367757809157042,0.043953324174253836
19,text,Out,14,24,counts,up,0.5977410462076383,0.07579029956486956,0.5284848484848486,0.07501255950962052,0.6195560616375196,0.0730753564644624,0.5855,0.10475922369650777,0.4407692307692305,0.14865162092959738,0.5131346153846154,0.07967543642082073
20,text,In,14,4,average_length,up,0.5969932246915454,0.05942012963970126,0.5508333333333332,0.05389891086647848,0.6131575891632867,0.04957636351582664,0.5858181818181816,0.08320245169029619,0.5039024390243902,0.08605605608064547,0.544860310421286,0.05337161534461509
21,call,All,14,4,average_length,up,0.593638953087389,0.055165194749605864,0.5661428571428576,0.05183322446184234,0.6211164074363343,0.05183726151418417,0.5723076923076925,0.07387377537464783,0.5583870967741934,0.08719808741285344,0.5653473945409427,0.052536427653769306
22,call,In,14,24,average_length,down,0.5890472793469856,0.06660649721044118,0.5454098360655738,0.06393272784459575,0.611238878287456,0.05971209828720319,0.5728571428571427,0.08872769346088796,0.5084615384615383,0.09984447891055352,0.5406593406593406,0.06432670958860709
23,call,In,14,6,counts,up,0.5838267738107357,0.06756772426465098,0.5434426229508198,0.06734545672768448,0.6125208880600667,0.06682379787190415,0.562,0.08480080823253612,0.5184615384615388,0.1092626106779636,0.5402307692307694,0.06914828841971363
24,text,All,14,4,counts,up,0.5836441788556562,0.04227318812811502,0.5215306122448979,0.04467662974388715,0.5914446536525916,0.04140695112083048,0.5782456140350881,0.056583841057028635,0.4426829268292684,0.08177063069318548,0.5104642704321779,0.04698427807870099
25,text,All,14,4,average_length,up,0.5833677690530896,0.044111774605156855,0.5275510204081634,0.048829478616770255,0.600098627554354,0.04716096684145557,0.5700000000000004,0.056779927181184964,0.4685365853658535,0.09061866612115453,0.5192682926829271,0.0520705651662258
