modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
text,Out,14,24,unique_contacts,2,KNN,down,0.6374004620377159,0.08145505706209284,0.6333333333333332,0.0787903068778924,0.6361207143389805,0.08810162842184123,0.6516666666666668,0.11925931154190877,0.6149999999999999,0.1375082897205222,0.6333333333333332,0.0787903068778924
text,Out,14,24,unique_contacts,2,KNN,up,0.6336496602231392,0.08820168659425712,0.6324999999999998,0.08171406581604265,0.6359556472938827,0.09196221569478485,0.644166666666667,0.12526907067325146,0.6208333333333331,0.13524253891513202,0.6324999999999998,0.08171406581604268
text,Out,14,12,average_length,15,KNN,down,0.6210460762079905,0.08979913613386079,0.5958333333333332,0.08087710120571108,0.5854146076231989,0.07850996202784291,0.6749999999999998,0.14089460842993254,0.5166666666666666,0.13812923566845803,0.5958333333333332,0.08087710120571105
text,Out,14,24,average_length,1,LR,up,0.6203221015660548,0.07193479772138053,0.6012500000000001,0.06810707182314647,0.5986382003359559,0.07748252029185007,0.6608333333333334,0.12093850641733453,0.5416666666666666,0.14530628667490705,0.6012500000000001,0.06810707182314649
text,Out,14,24,average_length,1,LR,down,0.6179016493913121,0.0742298261673075,0.5983333333333333,0.07094836174056475,0.5953159808887365,0.07868188243378768,0.6583333333333335,0.12108052620946314,0.5383333333333336,0.14526766193029197,0.5983333333333333,0.07094836174056475
text,Out,14,24,unique_contacts,3,KNN,up,0.6172062598959149,0.08891516838367057,0.6091666666666667,0.0867926758121631,0.6072548187107012,0.0882589235352579,0.6358333333333334,0.1170478381198463,0.5824999999999999,0.12562693510467202,0.6091666666666667,0.0867926758121631
text,Out,14,12,average_length,15,KNN,up,0.6165663091540106,0.09442349880144549,0.5891666666666667,0.08582552839542941,0.5779671514845666,0.08075372464451908,0.6733333333333333,0.14246900936958876,0.5049999999999998,0.13598994813318369,0.5891666666666667,0.08582552839542937
text,Out,14,24,unique_contacts,2,RFC,up,0.6156950864295375,0.10526927570783826,0.6195833333333334,0.09168101356964946,0.6231046584134821,0.0991080054013263,0.6216666666666669,0.13985522416467108,0.6175,0.13457700702313213,0.6195833333333334,0.09168101356964947
text,Out,14,24,unique_contacts,3,KNN,down,0.6151203175488982,0.0918526070266452,0.6091666666666665,0.08577647588900554,0.6069333811613223,0.08719670610302227,0.6325000000000001,0.12371392274168126,0.5858333333333334,0.12047360245667467,0.6091666666666665,0.08577647588900555
text,Out,14,12,average_length,14,KNN,down,0.6141958963974649,0.10105399434313515,0.5891666666666667,0.09136774033029366,0.57970375281753,0.09104405468573412,0.6683333333333334,0.1521359336646309,0.5099999999999997,0.1442306109527463,0.5891666666666667,0.09136774033029366
text,Out,14,12,average_length,13,KNN,down,0.613409423749449,0.09390445004843269,0.58875,0.08304981230776294,0.5783647089924182,0.08046845006797766,0.6658333333333333,0.14286971846204194,0.5116666666666668,0.13243595322248553,0.58875,0.08304981230776295
text,Out,14,4,average_length,1,LR,up,0.6133889752762236,0.08332262251427412,0.5954166666666663,0.07089272613977135,0.59333683868591,0.0806403987832216,0.6575,0.146457897789487,0.5333333333333331,0.16454883391560518,0.5954166666666663,0.07089272613977135
text,Out,14,4,average_length,1,LR,down,0.6122566815972705,0.08227425650670338,0.5908333333333329,0.07286524160629289,0.5888736137014001,0.08167998106940698,0.6608333333333332,0.14567030329310063,0.5208333333333333,0.17138727222851294,0.5908333333333329,0.07286524160629289
text,Out,14,24,unique_contacts,2,RFC,down,0.6102804843574736,0.10721242828438211,0.6241666666666668,0.08499603872726422,0.6302167448564507,0.09290504285899631,0.6050000000000001,0.14823124773756755,0.6433333333333331,0.11365768599059305,0.6241666666666668,0.08499603872726423
text,Out,14,12,average_length,14,KNN,up,0.609843260995881,0.09766113741301868,0.5841666666666666,0.08458238998661223,0.5734125380982966,0.0809592980222814,0.6658333333333333,0.15283286426535056,0.5025,0.13734240024333919,0.5841666666666666,0.08458238998661226
text,Out,14,12,average_length,13,KNN,up,0.6097436570705673,0.0909823115692116,0.5850000000000001,0.07674275246638423,0.5742664488074705,0.0736510889977659,0.6625000000000001,0.14132956525692947,0.5075,0.12871581465678933,0.5850000000000001,0.07674275246638425
text,Out,14,4,unique_contacts,1,LR,down,0.6051254236713128,0.08949585370251888,0.5791666666666668,0.07912345976713789,0.5697889337614569,0.07288026854096685,0.6583333333333333,0.141391592718883,0.4999999999999998,0.13242535961744337,0.5791666666666668,0.07912345976713787
text,Out,14,12,average_length,12,KNN,up,0.6043280425922517,0.08716277516735825,0.5800000000000002,0.07759719295604504,0.5720979168750069,0.0728899431377258,0.6541666666666669,0.138319540101758,0.5058333333333332,0.13926968001343212,0.5800000000000002,0.07759719295604504
text,Out,14,12,average_length,11,KNN,down,0.603137229441882,0.09580326002291462,0.5787500000000001,0.08881290154860093,0.5728725821821797,0.09132350033479791,0.6516666666666668,0.14330357533076896,0.5058333333333332,0.14947297988991765,0.5787500000000001,0.08881290154860096
text,Out,14,12,average_length,12,KNN,down,0.6025785991308639,0.09177615741853182,0.5795833333333332,0.07701078349433135,0.5711338978359104,0.07334812091938771,0.6533333333333333,0.1478047366614937,0.5058333333333332,0.13876509634661485,0.5795833333333332,0.07701078349433133
text,Out,14,24,average_length,2,LR,up,0.6012825395316433,0.08735355477955821,0.5983333333333334,0.08344268919053993,0.6079276723018981,0.10027895705635081,0.6158333333333333,0.13342536806767863,0.5808333333333333,0.16769673271671343,0.5983333333333334,0.08344268919053992
text,Out,14,4,unique_contacts,3,LR,down,0.6010092908865738,0.08704778036663903,0.5729166666666665,0.06991632605271328,0.563471009855298,0.06549119336669364,0.6599999999999998,0.14683339161572967,0.48583333333333334,0.13764850158565714,0.5729166666666665,0.06991632605271328
text,Out,14,24,unique_contacts,4,KNN,down,0.6000476125770602,0.08792598831575461,0.5891666666666666,0.07834837594658879,0.5867811750083421,0.08364293374359615,0.6266666666666666,0.12892545632434252,0.5516666666666665,0.13177753930514813,0.5891666666666666,0.0783483759465888
text,Out,14,4,average_length,2,LR,down,0.5986823638309973,0.08315876596679657,0.5758333333333334,0.0752334563325361,0.5734846727919483,0.07963973879731343,0.6458333333333335,0.14083236207901292,0.5058333333333335,0.16251348903696414,0.5758333333333334,0.07523345633253611
text,Out,14,4,unique_contacts,3,LR,up,0.5982528571723112,0.09196736786959274,0.5683333333333335,0.08022834974779657,0.5601513537202394,0.0794009110155769,0.6558333333333333,0.140971755733915,0.4808333333333335,0.14450998901392106,0.5683333333333335,0.08022834974779657
text,Out,14,12,average_length,1,LR,down,0.5974940882954225,0.08876337526485202,0.5958333333333333,0.07641757955239402,0.5973437012334073,0.08029160622975605,0.6116666666666668,0.131479110330969,0.5800000000000002,0.13396315891366528,0.5958333333333333,0.07641757955239402
text,Out,14,24,average_length,2,LR,down,0.5971828505388408,0.08739840294246068,0.59375,0.08320170580947957,0.602160815191001,0.09620576947837998,0.6125,0.13367748094325976,0.575,0.16896562584161723,0.59375,0.08320170580947958
text,Out,14,4,average_length,14,SVC,up,0.5970100757998347,0.1007687066772017,0.56625,0.07881144833288958,0.5649490052001662,0.0922275264574368,0.6691666666666667,0.18290238606503428,0.4633333333333334,0.19866275728872232,0.5662500000000001,0.0788114483328896
text,Out,14,12,combined,2,LR,up,0.5969048246971416,0.0801154507081395,0.5812500000000003,0.07382045703287951,0.5802329451594159,0.07589464865902112,0.6308333333333336,0.1293464318751498,0.5316666666666665,0.1520436909267112,0.5812500000000003,0.07382045703287951
text,Out,14,12,average_length,1,LR,up,0.5969037903561474,0.08536953161381623,0.595,0.07492982126281976,0.5971552974029756,0.07883995064231829,0.6108333333333335,0.1297795549553147,0.5791666666666666,0.13627592577608102,0.5950000000000001,0.07492982126281976
