modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
text,Out,14,24,average_length,1,LR,down,0.6153606783878248,0.07628273188439165,0.5954166666666668,0.07308512287179374,0.5933076841459196,0.08309160492288786,0.6566666666666667,0.12494667774030224,0.5341666666666666,0.14986666352133426,0.5954166666666668,0.07308512287179372
text,Out,14,24,average_length,1,LR,up,0.6144660916903107,0.07582116053755066,0.5941666666666667,0.07097307467514703,0.5912031530560944,0.07728070237922839,0.6575000000000002,0.12751125035639913,0.5308333333333333,0.14824780949167407,0.5941666666666667,0.07097307467514703
text,Out,14,4,unique_contacts,1,LR,down,0.6125598346852567,0.08605673754455404,0.584166666666667,0.07675646183365346,0.5733620029351454,0.06853290163365792,0.6708333333333333,0.13983265210542659,0.4974999999999998,0.12999557533694348,0.5841666666666668,0.07675646183365346
text,Out,14,4,average_length,1,LR,down,0.6125436756176267,0.08013451941807725,0.5904166666666665,0.06779738704578288,0.5882061775943356,0.07740922455009935,0.6641666666666666,0.14956680807773964,0.5166666666666664,0.17448014818307775,0.5904166666666665,0.06779738704578288
text,Out,14,4,average_length,1,LR,up,0.6118987579545281,0.08130403338585819,0.5904166666666663,0.0703364429554969,0.5883601429959789,0.0786106638081958,0.6616666666666666,0.1478521875396822,0.5191666666666666,0.17199194445156132,0.5904166666666663,0.07033644295549692
text,Out,14,4,unique_contacts,1,LR,up,0.6088345670731438,0.09228590621479513,0.5795833333333335,0.08293148058114284,0.5691632340827387,0.07533064873549405,0.6683333333333333,0.14505504199314087,0.4908333333333331,0.13705608885673348,0.5795833333333335,0.08293148058114284
text,Out,14,24,unique_contacts,2,KNN,down,0.6062248530433884,0.08753598589131992,0.60625,0.08487112267151961,0.6125235671191556,0.09524769510593298,0.6116666666666667,0.11557934875480937,0.6008333333333332,0.1412898533906664,0.60625,0.08487112267151961
text,Out,14,24,average_length,2,LR,up,0.6038237186055798,0.08450972985612094,0.5979166666666667,0.07975811320344336,0.6055811908679558,0.09618881132072483,0.6241666666666668,0.1363376799089781,0.5716666666666668,0.16751467764895678,0.5979166666666667,0.07975811320344336
text,Out,14,24,average_length,2,LR,down,0.6024865189037031,0.08267924311730837,0.5954166666666668,0.08039757235671345,0.6016089621163153,0.09108777022031146,0.6233333333333335,0.1321496278095054,0.5675000000000001,0.1635632786659222,0.5954166666666668,0.08039757235671344
text,Out,14,24,unique_contacts,2,KNN,up,0.6011433370470299,0.09319739136778024,0.6020833333333333,0.09027777777777776,0.6085242535242537,0.09811492018493927,0.6058333333333333,0.12070627826120843,0.5983333333333334,0.1466900042650851,0.6020833333333333,0.09027777777777779
text,Out,14,12,average_length,1,LR,down,0.6011017119942933,0.08560424000515156,0.5974999999999998,0.07449323743966581,0.5984611254758315,0.07822350594448184,0.6175000000000002,0.12816968883399255,0.5775000000000001,0.1346603783910379,0.5974999999999998,0.07449323743966578
