ID,nAddresses,Messages,help,office,dance,money,wedding,domestic_work,sleep,medical_emergency,cold,hate,cheerfulness,aggression,occupation,envy,anticipation,family,vacation,crime,attractive,masculine,prison,health,pride,dispute,nervousness,government,weakness,horror,swearing_terms,leisure,suffering,royalty,wealthy,tourism,furniture,school,magic,beach,journalism,morning,banking,social_media,exercise,night,kill,blue_collar_job,art,ridicule,play,computer,college,optimism,stealing,real_estate,home,divine,sexual,fear,irritability,superhero,business,driving,pet,childish,cooking,exasperation,religion,hipster,internet,surprise,reading,worship,leader,independence,movement,body,noise,eating,medieval,zest,confusion,water,sports,death,healing,legend,heroic,celebration,restaurant,violence,programming,dominant_heirarchical,military,neglect,swimming,exotic,love,hiking,communication,hearing,order,sympathy,hygiene,weather,anonymity,trust,ancient,deception,fabric,air_travel,fight,dominant_personality,music,vehicle,politeness,toy,farming,meeting,war,speaking,listen,urban,shopping,disgust,fire,tool,phone,gain,sound,injury,sailing,rage,science,work,appearance,valuable,warmth,youth,sadness,fun,emotional,joy,affection,traveling,fashion,ugliness,lust,shame,torment,economics,anger,politics,ship,clothing,car,strength,technology,breaking,shape_and_size,power,white_collar_job,animal,party,terrorism,smell,disappointment,poor,plant,pain,beauty,timidity,philosophy,negotiate,negative_emotion,cleaning,messaging,competing,law,friends,payment,achievement,alcohol,liquid,feminine,weapon,children,monster,ocean,giving,contentment,writing,rural,positive_emotion,musical,text_abbreviations,PositiveCnt,NegativeCnt,PositiveStd,NegativeStd,PostitiveAvg,NegativeAvg,SubjectiveCnt,SubjectiveStd,SubjectiveAvg,NNP,RB,RP,SYM,POS,WDT,VBD,NNS,NNPS,UH,PRP$,JJR,WRB,VBZ,VB,EX,PDT,RBS,RBR,FW,NN,PRP,VBP,VBG,JJ,TO,MD,DT,WP,LS,CC,VBN,JJS,IN,CD,WordSum,WordAvg,WordStd,CharacterSum,CharacterAvg,CharacterStd,score
m5989,4,113,0.006443298969072165,0.0,0.0,0.025128865979381444,0.0006443298969072165,0.011597938144329896,0.008376288659793814,0.0,0.004510309278350515,0.0,0.0,0.0,0.002577319587628866,0.0,0.0,0.0032216494845360823,0.007731958762886598,0.0,0.0,0.002577319587628866,0.0006443298969072165,0.0006443298969072165,0.0,0.0032216494845360823,0.0032216494845360823,0.0,0.0,0.0,0.001288659793814433,0.0019329896907216496,0.0,0.0,0.007731958762886598,0.0,0.0,0.0006443298969072165,0.0,0.0,0.0006443298969072165,0.006443298969072165,0.01997422680412371,0.001288659793814433,0.0,0.0032216494845360823,0.0,0.0019329896907216496,0.0,0.0006443298969072165,0.0006443298969072165,0.0006443298969072165,0.0,0.0,0.0,0.002577319587628866,0.006443298969072165,0.001288659793814433,0.0,0.0,0.001288659793814433,0.0,0.02706185567010309,0.023195876288659798,0.0,0.0,0.0019329896907216496,0.0006443298969072165,0.001288659793814433,0.0,0.0006443298969072165,0.0,0.0006443298969072165,0.001288659793814433,0.0,0.0,0.001288659793814433,0.001288659793814433,0.0,0.0019329896907216496,0.0,0.0,0.0006443298969072165,0.0006443298969072165,0.0006443298969072165,0.002577319587628866,0.0019329896907216496,0.0,0.0019329896907216496,0.0006443298969072165,0.0019329896907216496,0.0019329896907216496,0.0,0.0,0.0,0.0,0.0,0.0,0.0006443298969072165,0.0006443298969072165,0.013530927835051549,0.0057989690721649495,0.0019329896907216496,0.0,0.003865979381443299,0.0032216494845360823,0.0,0.002577319587628866,0.0,0.0,0.0,0.0,0.0019329896907216496,0.0,0.0,0.020618556701030927,0.0,0.0006443298969072165,0.0,0.0,0.0,0.015463917525773196,0.006443298969072165,0.0,0.003865979381443299,0.0,0.001288659793814433,0.003865979381443299,0.00902061855670103,0.0,0.0,0.0006443298969072165,0.0,0.0,0.0,0.007087628865979381,0.0006443298969072165,0.02190721649484536,0.0019329896907216496,0.0006443298969072165,0.0,0.0,0.0019329896907216496,0.0,0.0,0.008376288659793814,0.001288659793814433,0.0,0.0,0.002577319587628866,0.0,0.020618556701030927,0.0,0.0,0.0,0.0006443298969072165,0.020618556701030927,0.0,0.0006443298969072165,0.0006443298969072165,0.0006443298969072165,0.0,0.0019329896907216496,0.0,0.003865979381443299,0.0,0.0006443298969072165,0.0,0.0019329896907216496,0.0,0.0006443298969072165,0.0,0.0,0.0,0.001288659793814433,0.006443298969072165,0.006443298969072165,0.0032216494845360823,0.0,0.0,0.0019329896907216496,0.01095360824742268,0.0,0.0,0.0019329896907216496,0.001288659793814433,0.0006443298969072165,0.003865979381443299,0.0,0.0,0.024484536082474227,0.0006443298969072165,0.0019329896907216496,0.0,0.0019329896907216496,0.0006443298969072165,0.009664948453608248,26,10,0.20809838893618035,0.2248151246641955,0.26615109427609424,-0.2515277777777778,38,0.2627615815779791,0.4648978823320928,38,112,22,0,3,3,46,19,0,0,41,3,11,44,175,3,1,1,0,0,175,247,97,57,39,106,34,94,10,0,53,23,0,127,14,1565,13.849557522123892,13.881432967101865,7171,63.46017699115043,65.62727085301272,0
m2109,5,143,0.0,0.0006849315068493152,0.0,0.0013698630136986301,0.002054794520547945,0.013013698630136988,0.0061643835616438354,0.0013698630136986301,0.00410958904109589,0.0013698630136986301,0.0,0.0,0.0013698630136986301,0.0006849315068493152,0.0,0.00821917808219178,0.012328767123287673,0.0,0.003424657534246575,0.002054794520547945,0.0027397260273972607,0.002054794520547945,0.0,0.0013698630136986301,0.003424657534246575,0.0,0.0,0.0,0.002054794520547945,0.004794520547945207,0.0,0.0006849315068493152,0.0,0.0,0.0006849315068493152,0.0027397260273972607,0.0,0.0,0.0,0.0061643835616438354,0.0,0.0,0.0,0.0027397260273972607,0.0006849315068493152,0.0,0.0,0.0,0.007534246575342466,0.00410958904109589,0.0027397260273972607,0.00684931506849315,0.0,0.0027397260273972607,0.009589041095890413,0.002054794520547945,0.0,0.0,0.0,0.0,0.0061643835616438354,0.0054794520547945215,0.0,0.00410958904109589,0.0054794520547945215,0.0,0.0006849315068493152,0.0006849315068493152,0.0,0.0006849315068493152,0.0013698630136986301,0.0006849315068493152,0.0006849315068493152,0.0,0.00410958904109589,0.003424657534246575,0.0,0.003424657534246575,0.0,0.0,0.0013698630136986301,0.0,0.00410958904109589,0.0006849315068493152,0.0013698630136986301,0.0,0.0,0.0054794520547945215,0.0027397260273972607,0.00410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.003424657534246575,0.0006849315068493152,0.00410958904109589,0.00410958904109589,0.0013698630136986301,0.0,0.0006849315068493152,0.0013698630136986301,0.0,0.0027397260273972607,0.0006849315068493152,0.0006849315068493152,0.0,0.0,0.0027397260273972607,0.0,0.003424657534246575,0.0054794520547945215,0.0,0.004794520547945207,0.0,0.0027397260273972607,0.0,0.00684931506849315,0.0061643835616438354,0.0006849315068493152,0.0061643835616438354,0.0,0.002054794520547945,0.0,0.007534246575342466,0.0,0.0027397260273972607,0.0,0.0,0.0,0.0006849315068493152,0.004794520547945207,0.0027397260273972607,0.0006849315068493152,0.0013698630136986301,0.0061643835616438354,0.0,0.004794520547945207,0.0006849315068493152,0.0,0.002054794520547945,0.010958904109589041,0.0,0.0,0.0,0.003424657534246575,0.0,0.0006849315068493152,0.0,0.0,0.0,0.0,0.0054794520547945215,0.0006849315068493152,0.003424657534246575,0.0,0.0006849315068493152,0.0,0.0,0.0,0.009589041095890413,0.0,0.0006849315068493152,0.0,0.0,0.0,0.00410958904109589,0.0,0.0,0.0,0.002054794520547945,0.0136986301369863,0.0006849315068493152,0.0027397260273972607,0.002054794520547945,0.0,0.003424657534246575,0.0,0.003424657534246575,0.0006849315068493152,0.0006849315068493152,0.003424657534246575,0.0027397260273972607,0.00684931506849315,0.0,0.0006849315068493152,0.007534246575342466,0.0027397260273972607,0.0006849315068493152,0.0006849315068493152,0.0054794520547945215,0.002054794520547945,0.014383561643835616,78,19,0.20575284621835632,0.2387457874247835,0.4375735722610721,-0.3378341687552214,99,0.22081822589981887,0.5672613885366411,54,135,17,0,3,4,91,41,0,7,11,2,6,54,134,3,0,0,0,0,194,238,52,49,76,60,50,86,7,0,44,16,2,112,15,1548,10.825174825174825,10.714551040077005,7184,50.23776223776224,52.984356847251576,0
m9886,42,44,0.0011363636363636365,0.002272727272727273,0.0,0.0,0.040909090909090916,0.02386363636363636,0.02386363636363636,0.0,0.0,0.0,0.040909090909090916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.002272727272727273,0.004545454545454545,0.0,0.01818181818181818,0.004545454545454545,0.0,0.040909090909090916,0.0,0.0011363636363636365,0.0,0.0,0.0,0.0,0.02386363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040909090909090916,0.0,0.0,0.0011363636363636365,0.0,0.0,0.005681818181818182,0.0,0.0,0.0011363636363636365,0.0,0.0,0.040909090909090916,0.0,0.0,0.0,0.002272727272727273,0.0,0.0,0.0,0.0,0.04431818181818182,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040909090909090916,0.002272727272727273,0.0,0.0,0.04204545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040909090909090916,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.0011363636363636365,0.0,0.002272727272727273,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.004545454545454545,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05909090909090909,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011363636363636365,0.002272727272727273,0.0,0.0,0.08181818181818183,0.0,0.040909090909090916,38,0,0.026388343327759498,0.0,0.6108253588516748,0.0,40,0.12727626567727415,0.6482386363636362,312,36,0,0,0,0,4,2,0,0,0,0,0,1,2,0,0,0,0,0,206,2,2,1,192,1,0,39,0,0,0,0,0,44,110,883,20.068181818181817,5.18037260538067,4877,110.8409090909091,26.79886631067049,1
m5666,3,11,0.0,0.00641025641025641,0.0,0.0,0.0,0.01282051282051282,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.00641025641025641,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.00641025641025641,0.00641025641025641,0.0,0.00641025641025641,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.00641025641025641,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.01282051282051282,0.00641025641025641,0.0,0.00641025641025641,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,5,1,0.20819328626169584,0.0,0.585,-0.3,7,0.2498979383505129,0.5571428571428572,7,13,1,0,0,1,7,3,0,2,1,0,2,1,15,0,0,0,0,0,13,25,8,8,7,6,7,7,1,0,3,3,0,13,3,161,14.636363636363635,13.206559852607185,748,68.0,67.75356414643775,0
m3616,8,138,0.0022338049143708115,0.0026061057334326137,0.0003723008190618019,0.0033507073715562173,0.0037230081906180204,0.006329113924050633,0.008190618019359644,0.005956813104988831,0.0014892032762472078,0.004839910647803425,0.0007446016381236039,0.0,0.0018615040953090093,0.0003723008190618019,0.0,0.005584512285927029,0.0033507073715562173,0.0,0.0014892032762472078,0.0011169024571854058,0.0003723008190618019,0.010424422933730457,0.0,0.0003723008190618019,0.0033507073715562173,0.0,0.0003723008190618019,0.0007446016381236039,0.0029784065524944155,0.0022338049143708115,0.005212211466865228,0.0,0.0014892032762472078,0.0003723008190618019,0.0026061057334326137,0.0018615040953090093,0.0,0.0007446016381236039,0.0003723008190618019,0.0029784065524944155,0.0037230081906180204,0.0029784065524944155,0.0003723008190618019,0.004839910647803425,0.0,0.0,0.0,0.0007446016381236039,0.0011169024571854058,0.0033507073715562173,0.0011169024571854058,0.007073715562174236,0.0,0.0011169024571854058,0.009307520476545048,0.0003723008190618019,0.0,0.0029784065524944155,0.0014892032762472078,0.0,0.00781831720029784,0.0007446016381236039,0.0007446016381236039,0.0026061057334326137,0.008190618019359644,0.0014892032762472078,0.0,0.0,0.0037230081906180204,0.0014892032762472078,0.0011169024571854058,0.0003723008190618019,0.0011169024571854058,0.0,0.0018615040953090093,0.0014892032762472078,0.0014892032762472078,0.009307520476545048,0.0,0.0011169024571854058,0.0014892032762472078,0.0011169024571854058,0.0014892032762472078,0.0,0.004095309009679821,0.0,0.0014892032762472078,0.0022338049143708115,0.004467609828741623,0.0026061057334326137,0.0011169024571854058,0.0,0.0,0.0,0.0003723008190618019,0.0,0.0018615040953090093,0.0011169024571854058,0.00781831720029784,0.0022338049143708115,0.0011169024571854058,0.0011169024571854058,0.0011169024571854058,0.0014892032762472078,0.0003723008190618019,0.0014892032762472078,0.0007446016381236039,0.0,0.0,0.0007446016381236039,0.0,0.0003723008190618019,0.0014892032762472078,0.0007446016381236039,0.0014892032762472078,0.0003723008190618019,0.0003723008190618019,0.0014892032762472078,0.0,0.006329113924050633,0.0026061057334326137,0.0,0.0026061057334326137,0.0,0.0037230081906180204,0.0011169024571854058,0.0026061057334326137,0.0,0.0011169024571854058,0.0018615040953090093,0.0003723008190618019,0.0003723008190618019,0.0003723008190618019,0.004095309009679821,0.0026061057334326137,0.0029784065524944155,0.0014892032762472078,0.0022338049143708115,0.0029784065524944155,0.0,0.0037230081906180204,0.0011169024571854058,0.0026061057334326137,0.0037230081906180204,0.0003723008190618019,0.0011169024571854058,0.0011169024571854058,0.0033507073715562173,0.0003723008190618019,0.0007446016381236039,0.0007446016381236039,0.0,0.0,0.0,0.0007446016381236039,0.0018615040953090093,0.0033507073715562173,0.0022338049143708115,0.0022338049143708115,0.0007446016381236039,0.0018615040953090093,0.0011169024571854058,0.005212211466865228,0.0,0.0007446016381236039,0.0003723008190618019,0.0,0.0,0.005956813104988831,0.0011169024571854058,0.0003723008190618019,0.0,0.0,0.011169024571854059,0.0007446016381236039,0.0037230081906180204,0.0,0.0,0.0022338049143708115,0.0022338049143708115,0.0,0.0037230081906180204,0.008190618019359644,0.0007446016381236039,0.0007446016381236039,0.006329113924050633,0.0,0.0003723008190618019,0.01600893521965748,0.0014892032762472078,0.0029784065524944155,0.0,0.007073715562174236,0.0011169024571854058,0.04058078927773641,54,26,0.23337843645615494,0.26572877826674485,0.32959487618304034,-0.2503435106560106,85,0.22353287106751035,0.5632930689183886,142,238,24,0,8,6,80,68,0,7,39,9,29,87,213,4,2,0,4,1,378,289,129,64,199,90,67,171,15,0,78,45,3,275,23,2728,19.768115942028984,27.191028426396603,13193,95.60144927536231,142.27186364951226,1
m8338,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.5,0.0,1,0.0,0.5,9,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,42,2,1,0,2,2,2,0,0,0,0,0,0,0,0,65,10.833333333333336,6.890008869531464,311,51.83333333333334,37.44959575512427,0
m4814,2,14,0.0,0.0,0.0,0.017857142857142856,0.0,0.008928571428571428,0.04464285714285714,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.017857142857142856,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.017857142857142856,0.008928571428571428,0.0,0.0,0.0,0.008928571428571428,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.0,0.008928571428571428,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.008928571428571428,0.0,0.008928571428571428,0.0,0.008928571428571428,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.017857142857142856,0.0,0.008928571428571428,0.017857142857142856,0.0,0.0,0.017857142857142856,0.0,0.0,0.017857142857142856,0.0,0.008928571428571428,0.0,0.0,0.008928571428571428,0.0,3,2,0.10251654438810466,0.006250000000000006,0.21818181818181814,-0.20625,6,0.13386220485554112,0.4914141414141415,4,8,3,0,0,0,5,3,0,1,2,0,0,0,9,0,0,0,0,0,24,12,4,4,10,3,3,11,0,0,2,0,1,7,0,114,8.142857142857142,6.534055214873869,534,38.142857142857146,30.82869058629163,0
e9237,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,-0.3,1,0.0,0.6,14,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,3,1,0,0,0,0,0,0,0,1,0,54,3.6,1.7813852287849852,285,19.0,12.863384728238005,2
m7861,5,7,0.0,0.005813953488372093,0.0,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.011627906976744186,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017441860465116282,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.017441860465116282,0.011627906976744186,0.0,0.005813953488372093,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.017441860465116282,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.005813953488372093,0.011627906976744186,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.02906976744186046,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.011627906976744186,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.011627906976744186,0.0,0.005813953488372093,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.017441860465116282,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,4,0,0.054336099568731436,0.0,0.2626311188811189,0.0,4,0.12747712648387916,0.39082653457653455,14,11,2,0,1,1,3,6,0,1,1,0,1,6,12,1,0,0,0,0,20,25,9,7,8,8,4,13,2,0,4,1,0,19,2,173,24.714285714285715,36.68286593303779,865,123.57142857142857,191.52758633296304,1
m8979,1,28,0.005263157894736842,0.010526315789473684,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.010526315789473684,0.0,0.005263157894736842,0.0,0.005263157894736842,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.015789473684210527,0.005263157894736842,0.0,0.005263157894736842,0.005263157894736842,0.0,0.0,0.0,0.015789473684210527,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.015789473684210527,0.005263157894736842,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.015789473684210527,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.005263157894736842,0.02631578947368421,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.010526315789473684,0.0,0.005263157894736842,0.0,0.0,0.005263157894736842,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.02631578947368421,0.005263157894736842,0.0,0.0,0.005263157894736842,0.0,0.0,5,3,0.19390719429665315,0.2857738033247041,0.52,-0.35000000000000003,9,0.3104134348469075,0.6682098765432098,10,10,0,0,1,0,3,6,0,1,1,0,3,2,15,1,0,0,0,0,26,30,19,2,8,9,3,15,0,0,8,3,0,19,0,209,7.4642857142857135,6.651971473916278,906,32.357142857142854,32.09273870443313,1
