,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,interval,NB,1,,,,,,0,9,0,9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],361128390,"(18, 1)"
1,interval,LR,1,0.066666667,0.2,0.1,0.433333333,0.5,1,7,2,8,[0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0],361128390,"(18, 1)"
2,interval,SVC,1,0.066666667,0.2,0.1,0.433333333,0.5,1,7,2,8,[0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0],361128390,"(18, 1)"
3,interval,SVC2,1,0.066666667,0.2,0.1,0.433333333,0.5,1,7,2,8,[0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0],361128390,"(18, 1)"
4,interval,kNN,1,0,0,0,0.5,0.5,0,9,0,9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],361128390,"(18, 1)"
5,interval,NB,2,0.5,0.4,0.433333333,0.633333333,0.65,3,8,1,6,[0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1],361128390,"(18, 2)"
6,interval,LR,2,0.066666667,0.2,0.1,0.433333333,0.675,1,7,2,8,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0],361128390,"(18, 2)"
7,interval,SVC,2,0.266666667,0.3,0.233333333,0.5,0.675,2,7,2,7,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1],361128390,"(18, 2)"
8,interval,SVC2,2,0.066666667,0.2,0.1,0.433333333,0.675,1,7,2,8,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0],361128390,"(18, 2)"
9,interval,kNN,2,0.4,0.3,0.333333333,0.633333333,0.65,2,9,0,7,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1],361128390,"(18, 2)"
10,interval,NB,3,0.533333333,0.4,0.426666667,0.65,0.65,4,8,1,5,[1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0],361128390,"(18, 3)"
11,interval,LR,3,0.466666667,0.4,0.366666667,0.533333333,0.7,3,7,2,6,[1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1],361128390,"(18, 3)"
12,interval,SVC,3,0.6,0.4,0.466666667,0.7,0.7,4,9,0,5,[1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0],361128390,"(18, 3)"
