,modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
0,text,Out,14,24,average_length,1,LR,down,0.7219317324090849,0.06785807851505747,0.6730303030303026,0.07287697580899351,0.7455513200672143,0.07072664412730989,0.7080000000000003,0.1004334042381751,0.6192307692307693,0.1349618141979959,0.6636153846153843,0.07613950168246762
1,text,Out,14,4,average_length,1,LR,down,0.7214379531541789,0.06513625134463191,0.668181818181818,0.06705441403217259,0.7331240025764458,0.061383437225815386,0.7175000000000002,0.09958880104173004,0.5923076923076923,0.1205153002770216,0.6549038461538462,0.06814600323466175
2,text,Out,14,4,average_length,1,LR,up,0.7190980226008113,0.06230418457443373,0.6663636363636362,0.06665483936603321,0.7340185336402729,0.06288459498924694,0.7110000000000001,0.09172312311043117,0.5976923076923077,0.11818917417326265,0.6543461538461538,0.06886158361297631
3,text,Out,14,24,average_length,1,LR,up,0.7173697003587708,0.06544388182947918,0.6690909090909091,0.06846504449948396,0.7437088531979235,0.06632910208916025,0.7015000000000002,0.10086870153568424,0.619230769230769,0.12767957547854586,0.6603653846153845,0.07046347871010028
4,text,Out,14,24,unique_contacts,1,LR,down,0.7148905477204411,0.05660945825493317,0.6524242424242419,0.06351380913911024,0.7118120964136543,0.058485981556161325,0.7235000000000003,0.0833196958538119,0.543076923076923,0.1206738991945041,0.6332884615384615,0.06755542986052229
5,text,Out,14,4,unique_contacts,1,LR,up,0.7147281732077353,0.05710240358416386,0.6475757575757574,0.0654131250094736,0.701759283486962,0.0556701768629439,0.733,0.08385292559781755,0.5161538461538463,0.11482381198990226,0.6245769230769234,0.06846604535421573
6,text,Out,14,24,average_length,2,LR,down,0.7143457861965574,0.0703342113319184,0.6739393939393941,0.07247174782541459,0.7623054031725788,0.0734178837328274,0.6800000000000003,0.09770084209183943,0.6646153846153843,0.13722141702830412,0.6723076923076924,0.07656531021050816
7,text,Out,14,24,unique_contacts,1,LR,up,0.7129157301774355,0.056319386518197866,0.6499999999999996,0.06335589072850248,0.7099551854117473,0.05850980039067907,0.7215000000000003,0.08356180800805928,0.54,0.12271703404208327,0.6307499999999999,0.06768183006342224
8,text,Out,14,6,unique_contacts,1,LR,up,0.7122107272282705,0.057275514917501213,0.6424242424242421,0.06503555999862543,0.6956971687166029,0.05644684401900173,0.7349999999999999,0.08660254037844388,0.4999999999999998,0.1205153002770216,0.6174999999999998,0.06848454996832756
9,text,Out,14,12,average_length,14,SVC,down,0.7106165084394587,0.06855118464896584,0.6839393939393937,0.06634239526560579,0.8007599376917183,0.08162729299461158,0.6485000000000002,0.09755987542493733,0.738461538461538,0.13479563911236328,0.6934807692307693,0.07012336557452116
10,text,Out,14,12,average_length,13,SVC,down,0.7103105810288965,0.06046683532242904,0.6818181818181814,0.05944713796010843,0.7949643057720757,0.07493215178393772,0.6495000000000002,0.08542673628746024,0.7315384615384615,0.12296760879735975,0.6905192307692307,0.06357019905582434
11,text,Out,14,4,unique_contacts,1,LR,down,0.7102680620923549,0.08883553161039642,0.6469696969696968,0.0811945533310401,0.7000988988134802,0.07694901738780617,0.7280000000000001,0.11856038822712102,0.5223076923076924,0.12090893586835062,0.6251538461538463,0.0793101268978796
12,text,Out,14,12,combined,1,LR,up,0.7102634266465153,0.0704177545713331,0.6551515151515147,0.07382349022405317,0.7225895220432443,0.06780229238344962,0.7050000000000003,0.0993666814064824,0.5784615384615384,0.12488952741896545,0.6417307692307693,0.0757779468756039
13,text,Out,14,12,average_length,11,SVC,down,0.7095082674603,0.0678058117564069,0.6812121212121212,0.06248688539813459,0.7951467625205442,0.08116019688914614,0.6520000000000004,0.1024744363293114,0.7261538461538458,0.14310607852260832,0.6890769230769231,0.06683504825027048
14,text,Out,14,12,combined,1,LR,down,0.7088577246267288,0.06198655048554951,0.6530303030303024,0.06663813842675295,0.7211790420273058,0.06159208748830194,0.7030000000000004,0.0909600867069583,0.5761538461538461,0.11901564672228672,0.6395769230769228,0.06910502912599814
15,text,Out,14,12,average_length,3,LR,up,0.7086154146061467,0.06880429682916565,0.6554545454545452,0.07784453266853646,0.7287688354833023,0.07401115050777184,0.6955000000000002,0.09075858753925828,0.5938461538461537,0.1400495997249587,0.6446730769230768,0.08338256345729349
16,text,Out,14,12,average_length,15,SVC,down,0.7082269411587393,0.06908981597284909,0.6784848484848486,0.0676767676767677,0.7893527246474377,0.0800887471480759,0.6515000000000001,0.09573084110877714,0.7199999999999999,0.13590843074667822,0.6857500000000001,0.07196174776555885
17,text,Out,14,24,average_length,2,LR,up,0.7075902759886422,0.06817614551106492,0.6669696969696969,0.06964904328958524,0.7573380722392027,0.07244963287391255,0.6720000000000003,0.09648363026488437,0.6592307692307691,0.13623128276984056,0.6656153846153846,0.07382620003661486
